
Anamul Haque,38,35,0,1052,120,30.05,1488,6,3,3,70.69
MP Stoinis,41,38,7,1050,146,33.87,1143,3,6,1,91.86
KD Mills,170,101,34,1047,54,15.62,1282,8,2,0,81.66
JM How,41,37,1,1046,139,29.05,1572,3,7,1,66.53
Gulbadin Naib,65,56,8,1041,82,21.68,1424,5,5,0,73.1
AD Russell,56,47,9,1034,92,27.21,794,6,4,0,130.22
JP Faulkner,69,52,22,1032,116,34.4,990,4,4,1,104.24
DSBP Kuruppu,54,52,1,1022,72,20.03,1978,3,4,0,51.66
AG Prince,52,41,12,1018,89,35.1,1502,4,3,0,67.77
SK Warne,194,107,29,1018,55,13.05,1413,10,1,0,72.04
SM Patil,45,42,1,1005,84,24.51,1223,4,9,0,82.17
KOA Powell,46,44,0,1005,83,22.84,1278,4,9,0,78.63
Rajin Saleh,43,43,1,1005,108,23.92,1833,5,6,1,54.82
PW Borren,58,50,5,1004,96,22.31,1176,5,5,0,85.37
NFI McCallum,43,42,6,1002,121,27.83,1451,3,4,2,69.05
Khaled Mahmud,77,72,3,991,50,14.36,1461,9,1,0,67.83
BL Cairns,78,65,6,987,60,16.72,941,6,2,0,104.88
MJ Slater,42,42,1,987,73,24.07,1634,3,9,0,60.4
MJ Horne,50,48,0,980,74,20.41,1515,3,5,0,64.68
